Hexa,Cube,N,E,Name
10000180600801,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.4.4.0.0.0.0.0.5.5,184,384,
1F400000060,0.1.2.3.4.5.0.6.0.0.1.2.3.4.5.0.6.0.0.0.0.7.7.7.0.0.0,1344,2416,
800184220021,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.0.4.4.0.0.0.5.6.6.0.7.7,1298,2476,
182800C08,0.0.0.0.0.0.0.0.0.1.1.1.2.0.3.2.0.3.4.4.4.0.5.0.0.5.0,340,642,
180408C40,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.0.4.4.4.5.5.3.0.0.0,350,674,
1000380401040,0.0.0.1.1.0.0.0.2.3.3.3.0.0.0.4.4.2.0.0.0.5.5.0.0.0.2,492,1032,
18280001C,0.0.0.0.0.0.0.0.0.1.1.1.2.0.3.2.0.3.0.0.0.4.5.6.4.5.6,3846,7366,
180408842,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.0.4.4.0.5.5.3.6.6.0,3864,7458,
1800080200421,0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.6.6,5780,11960,
180800C21,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.0.0.2.3.3.3.0.4.4.0.5.5,1564,3044,
80200C61,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.5.5,1912,3944,
180200C21,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.3.3.3.0.4.4.0.5.5,1920,3944,
39200000060,1.2.3.0.0.4.0.0.5.1.2.3.0.0.4.0.0.5.0.0.0.6.6.6.0.0.0,5448,10620,
10000080200461,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.5.5.5.0.6.6,7308,14664,
40180200421,0.0.0.0.0.0.0.1.1.2.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.6.6,7426,14792,
1000000C63,0.0.0.0.0.1.0.0.0.0.0.0.0.0.1.0.0.0.2.2.2.3.3.3.4.4.4,132,292,
800000000C63,0.0.0.0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4,132,312,
180000C1C,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.0.0.2.2.2.3.4.5.3.4.5,3457,6948,
18000000008C6,0.0.0.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.2.2.3.4.4.3.5.5.3,3992,8088,
10040010800421,0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.0.3.0.4.4.0.5.5.0.6.6,6135,11896,
10040180200401,0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.0.4.4.0.5.5.0.0.0.0.6.6,7888,15316,
10000000000C63,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4,464,1032,
10040000000C61,0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.3.3.3.4.4.4.0.5.5,4000,7808,
20080000040862,1.1.0.0.0.0.2.2.0.0.0.3.0.0.0.0.0.0.4.4.3.5.5.5.6.6.0,4408,8072,
17400000C08,0.1.0.2.3.4.0.5.0.0.1.0.2.3.4.0.5.0.6.6.6.0.7.0.0.7.0,2332,4300,
800084220421,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.6.6.5.7.7.0.8.8,25384,49056,
100408C42,0.0.0.0.0.0.0.0.0.1.1.0.0.0.3.2.2.0.4.4.4.5.5.3.6.6.0,12964,24360,
10800080200023,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.0.0.0.5.5.6.6.6,14656,28704,
10001080200421,0.1.1.0.0.2.0.0.0.0.3.3.0.0.2.0.4.4.0.5.5.0.6.6.0.7.7,47064,91172,
10800080200421,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.5.5.0.6.6.0.7.7,54368,108328,
80800C23,0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2.3.3.3.0.4.4.5.5.5,1086,2040,
80200C23,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.0.4.4.5.5.5,1056,2108,
10000080800423,0.1.1.0.0.0.0.0.0.0.2.2.0.0.3.0.0.3.0.4.4.0.5.5.6.6.6,26790,50082,
2800C1C,0.0.0.0.0.0.0.0.0.0.0.0.1.0.2.1.0.2.3.3.3.4.5.6.4.5.6,28574,54384,
10040080800421,0.1.1.0.0.0.0.2.2.0.3.3.0.0.4.0.0.4.0.5.5.0.6.6.0.7.7,45558,87252,
10040080200421,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.5.5.0.6.6.0.7.7,51512,99032,
30000080000423,1.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3.0.4.4.5.5.5,3744,7192,
10000080200C03,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.4.4.4.0.0.0.5.5.5,3456,6880,
100C0080000421,0.1.1.0.0.0.2.2.2.0.3.3.0.0.0.0.0.0.0.4.4.0.5.5.0.6.6,30752,56192,
10040080200C01,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.5.5.5.0.0.0.0.6.6,32576,59744,
20008100000846,1.1.2.0.0.0.0.0.0.3.3.2.0.0.0.0.0.0.4.4.0.5.5.6.7.7.6,30976,57176,
2DA00000400,1.0.2.3.0.4.5.0.6.1.0.2.3.0.4.5.0.6.0.7.7.0.0.0.0.0.0,34976,64672,
40800200C03,0.0.0.0.0.0.2.1.1.0.0.0.0.0.0.2.3.3.4.4.4.0.0.0.5.5.5,260,480,
8040000200C03,1.0.0.1.0.0.0.2.2.0.0.0.0.0.0.0.3.3.4.4.4.0.0.0.5.5.5,226,392,
10100080000C03,0.1.1.0.0.2.0.0.2.0.3.3.0.0.0.0.0.0.4.4.4.0.0.0.5.5.5,452,784,
10840000000C03,0.1.1.0.2.2.0.3.3.0.0.0.0.0.0.0.0.0.4.4.4.0.0.0.5.5.5,904,1888,
38A00000C00,1.2.3.0.0.0.4.0.5.1.2.3.0.0.0.4.0.5.6.6.6.0.0.0.0.0.0,20816,36004,
29A00000401,1.0.2.0.0.3.4.0.5.1.0.2.0.0.3.4.0.5.0.6.6.0.0.0.0.7.7,12984,22456,
20088000000C03,1.1.3.0.0.0.2.2.0.0.0.3.0.0.0.0.0.0.4.4.4.0.0.0.5.5.5,116,216,
20108000000C03,1.1.3.0.0.2.0.0.2.0.0.3.0.0.0.0.0.0.4.4.4.0.0.0.5.5.5,42,60,
20088000000C06,1.1.3.0.0.0.2.2.0.0.0.3.0.0.0.0.0.0.4.4.4.0.0.5.6.6.5,7728,12384,
28A00000414,1.0.2.0.0.0.3.0.4.1.0.2.0.0.0.3.0.4.0.5.5.6.0.7.6.0.7,2544,4032,Snake
B5A00020,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.1.1.0.0.0.0.2.2.0.0.0,4,11,
1FC200000,0.0.0.0.0.0.0.0.0.1.1.1.1.1.1.0.2.2.0.0.0.0.0.0.0.0.0,4,10,C-Block Clock
B5A00400,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.1.1.0.2.2.0.0.0.0.0.0,10,26,
10000005AD,0.0.0.0.0.1.0.0.0.0.0.0.0.0.1.0.0.0.0.2.2.0.2.2.0.2.2,13,32,
8000000005AD,0.0.0.0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.2.2.0.2.2,16,44,
100000000005AD,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.2.2.0.2.2,64,160,
840D8420,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.1.1.0.2.2.0.0.0,4,12,
85AC0400,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.2.2.0.1.1.0.0.0.0.0.0,4,10,
184618020,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.3.3.3.0.0.0.0.2.2.0.0.0,4,10,
8000B4600020,0.0.0.0.1.1.0.0.0.0.2.2.0.2.2.3.3.3.0.0.0.0.4.4.0.0.0,25,54,
F4600020,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.3.3.3.0.0.0.0.4.4.0.0.0,20,38,
8000B4200060,0.0.0.0.1.1.0.0.0.0.2.2.0.2.2.0.3.3.0.0.0.4.4.4.0.0.0,26,59,
F4200060,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.0.0.4.4.4.0.0.0,20,40,
184218021,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.0.3.3.0.0.0.0.2.2.0.4.4,116,276,
B4600420,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.2.2.0.3.3.0.4.4.0.0.0,103,218,
F4600400,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.3.3.3.0.4.4.0.0.0.0.0.0,96,178,
B4200460,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.3.3.4.4.4.0.0.0,103,223,
B4000C60,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.0.0.2.2.2.3.3.3.0.0.0,16,36,
200B4700000,1.0.0.0.0.0.0.0.0.1.2.2.0.2.2.3.3.3.1.0.0.0.0.0.0.0.0,16,31,
184018421,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4,232,518,
1800004018421,0.0.0.1.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4,227,468,
800084238020,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.0.0.5.3.3.0.0.0,160,360,
800084218420,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.5.5.0.3.3.0.0.0,824,1888,
F4200420,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.4.4.0.5.5.0.0.0,732,1566,
8002B4001020,0.0.0.0.1.1.0.0.2.0.3.3.0.3.3.0.0.2.0.0.0.0.4.4.0.0.2,128,296,
B4200C20,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.3.3.3.0.4.4.0.0.0,122,257,
20087B00000,1.0.0.0.0.0.0.0.0.1.2.2.4.3.3.4.3.3.1.0.0.0.0.0.0.0.0,115,220,
84218421,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.0.5.5,1836,4244,
B4200421,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.3.3.0.4.4.0.5.5,1742,3822,
800004038421,0.0.0.0.1.1.0.0.0.0.0.0.3.2.2.0.0.0.0.4.4.3.2.2.0.5.5,1658,3430,
84018423,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.4.4.4,534,1148,
B4200C01,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.3.3.3.0.0.0.0.4.4,532,1060,
10000084018421,0.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.3.3.0.5.5,2540,5532,
100000B4200401,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.3.3.0.4.4.0.0.0.0.5.5,2488,5234,
202B4101000,1.0.0.0.0.0.0.0.2.1.3.3.0.3.3.0.0.2.1.0.0.0.0.0.0.0.2,35,70,
2100004018421,0.0.1.0.0.1.0.0.1.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4,1128,2248,
80400B4000201,1.0.0.1.0.0.0.2.2.0.3.3.0.3.3.0.0.0.4.0.0.4.0.0.0.5.5,2610,5350,
1001808000002D,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.0.0.0.2.2.0.2.2,12,30,
802C3401,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.2.2,16,48,Facing Quads
18C6005A0,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.0.4.4.0.4.4.0.0.0,8,16,
8C6C0460,0.0.0.0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.1.1.4.4.4.0.0.0,10,22,
18280002D,0.0.0.0.0.0.0.0.0.1.1.1.2.0.3.2.0.3.0.0.0.0.4.4.0.4.4,36,64,
180C0005A,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.3.3.2.0.0.0.4.4.0.4.4.0,38,68,
420008080002D,0.1.0.0.1.0.0.1.0.0.2.2.0.0.3.0.0.3.0.0.0.0.4.4.0.4.4,48,100,
8000806C0420,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.3.3.3.0.2.2.0.4.4.0.0.0,72,156,
80018080002D,0.0.0.0.1.1.0.0.0.2.2.2.0.0.3.0.0.3.0.0.0.0.4.4.0.4.4,43,83,
80018020002D,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.4.4,68,146,
18080042D,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.0.0.2.0.3.3.0.4.4.0.4.4,189,354,
18020042D,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.4.4,260,536,
806C0421,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.3.3.0.4.4,302,644,
802C0461,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.3.3.3.0.4.4,288,622,
180000C2D,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.0.0.2.2.2.0.3.3.0.3.3,42,84,
806C0403,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.0.0.3.3.3,48,104,
100000800C0461,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.2.2.3.3.3.0.4.4,520,1072,
100000806C0401,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.3.3.3.0.2.2.0.0.0.0.4.4,704,1440,
174000005A0,0.1.0.2.3.4.0.5.0.0.1.0.2.3.4.0.5.0.0.6.6.0.6.6.0.0.0,280,532,
8000842E0420,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.2.2.5.6.6.0.0.0,268,548,
8280003D,0.0.0.0.0.0.0.0.0.0.1.1.2.0.3.2.0.3.0.0.0.5.4.4.5.4.4,1628,3208,
80008080042D,0.0.0.0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.4.4.0.5.5.0.5.5,1718,3552,
80008020042D,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.5.5,2060,4392,
111200800C08,0.2.0.0.0.1.0.0.1.0.2.0.0.0.1.0.0.1.3.3.3.0.4.0.0.4.0,310,590,
80200C2D,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.0.4.4.0.4.4,328,640,
802C0423,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.4.4.4,346,716,
10080085E,0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.0.0.2.3.3.0.4.4.5.4.4.5,3791,7567,
1000008020042D,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.5.5,4248,8680,
100000802C0421,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.0.5.5,4480,9310,
100000800005A3,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3.0.3.3.4.4.4,1342,2584,
10018080200C01,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.0.4.4,1408,2832,
1004008000042D,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.0.0.0.4.4.0.5.5.0.5.5,5310,10590,
100400802C0401,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.3.3.0.0.0.0.5.5,6056,12040,
30000010048083,1.1.1.0.0.0.0.0.0.0.0.2.0.0.2.0.0.0.0.0.2.0.0.2.3.3.3,84,160,
109200800C04,0.0.2.0.0.1.0.0.1.0.0.2.0.0.1.0.0.1.3.3.3.0.0.4.0.0.4,2312,4288,
20038300000802,1.1.2.0.0.0.0.0.3.1.1.2.0.0.0.0.0.3.4.4.0.0.0.0.5.5.0,4484,8508,
180018C200061,0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.4.4.0.0.0.5.5.5.0.6.6,74,164,
18C600C60,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.4.4.4.5.5.5.0.0.0,24,56,
18C600461,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.0.4.4.5.5.5.0.6.6,102,228,
18C600462,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.0.4.4.5.5.5.6.6.0,56,124,
800184620420,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.4.4.4.0.6.6.5.7.7.0.0.0,130,248,
11806000C4,0.0.0.0.0.1.0.0.0.2.2.2.0.0.1.3.3.3.0.0.4.5.5.4.0.0.4,88,172,
10001806000C4,0.0.0.1.1.0.0.0.0.2.2.2.0.0.0.3.3.3.0.0.4.5.5.4.0.0.4,176,388,
400018C002C60,0.1.0.0.1.0.0.0.0.2.2.2.3.3.3.0.4.0.5.5.5.6.6.6.0.4.0,178,384,
180608842,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.2.4.4.0.5.5.3.6.6.0,372,692,
1780002840,0.0.0.0.0.1.0.2.3.4.4.4.0.0.1.0.2.3.5.5.0.6.6.0.0.2.0,202,366,
800180600421,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.3.3.3.0.4.4.0.5.5.0.6.6,824,1740,
10800180600021,0.1.1.0.2.2.0.0.0.3.3.3.0.0.0.4.4.4.0.0.0.0.5.5.0.6.6,456,954,
84018C200860,0.0.0.0.1.1.0.2.2.3.3.3.4.4.4.0.5.5.6.6.0.7.7.7.0.0.0,772,1632,
1080018C200061,0.1.1.0.2.2.0.0.0.3.3.3.4.4.4.0.5.5.0.0.0.6.6.6.0.7.7,431,900,
180600C21,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.4.4.0.5.5,296,636,
18C200C61,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.3.4.4.4.5.5.5.0.6.6,268,582,
10000180600421,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.0.4.4.0.5.5.0.6.6,660,1328,
10000180600821,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.4.4.0.0.5.5.0.6.6,284,560,
4018C200461,0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.4.4.0.5.5.6.6.6.0.7.7,545,1126,
1000018C200861,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.4.4.5.5.0.6.6.6.0.7.7,237,479,
3000018C000063,1.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.0.0.0.4.4.4.5.5.5,38,88,
180600C03,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.0.0.4.4.4,52,128,Loop
1000018C000C61,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.4.4.4.5.5.5.0.6.6,208,438,
1000018C000C62,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.4.4.4.5.5.5.6.6.0,358,758,
180600611,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.4.3.3.4.0.0.4.5.5,584,1264,
10000180600C01,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.4.4.4.0.0.0.0.5.5,344,736,
A00018C005060,1.0.2.1.0.2.0.0.0.3.3.3.4.4.4.5.0.6.0.0.0.7.7.7.5.0.6,339,668,
1004018C000861,0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.0.0.5.5.0.6.6.6.0.7.7,266,520,
2200018C001062,1.1.2.0.0.2.0.0.0.3.3.3.4.4.4.0.0.5.0.0.0.6.6.6.7.7.5,94,176,
10040180600401,0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.4.4.4.0.5.5.0.0.0.0.6.6,656,1336,Mr. T
10040180600402,0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.4.4.4.0.5.5.0.0.0.6.6.0,504,1024,
204018C600404,0.0.1.0.0.1.0.2.2.3.3.3.4.4.4.5.5.5.0.6.6.0.0.7.0.0.7,92,184,
17400000C60,0.1.0.2.3.4.0.5.0.0.1.0.2.3.4.0.5.0.6.6.6.7.7.7.0.0.0,600,1012,
80008422018C,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.6.7.5.6.7.0.6.7,588,1060,
1F600000060,0.1.2.3.4.5.0.6.7.0.1.2.3.4.5.0.6.7.0.0.0.8.8.8.0.0.0,5616,9828,
1800084220421,0.0.0.1.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.6.6.5.7.7.0.8.8,5506,10076,
100C00C62,0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.3.3.2.4.4.4.5.5.5.6.6.0,3148,5746,
180408C42,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.0.4.4.4.5.5.3.6.6.0,3160,5800,
800180200C21,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.0.3.3.4.4.4.0.5.5.0.6.6,4456,8852,
39600000060,1.2.3.0.0.4.0.5.6.1.2.3.0.0.4.0.5.6.0.0.0.7.7.7.0.0.0,9596,17552,
41180200421,0.0.0.0.0.2.0.1.1.3.3.3.0.0.2.0.4.4.0.5.5.0.6.6.0.7.7,9500,17264,
840180200421,0.0.0.0.1.1.0.2.2.3.3.3.0.0.0.0.4.4.0.5.5.0.6.6.0.7.7,14432,27752,
80800C63,0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2.3.3.3.4.4.4.5.5.5,286,556,
80200C63,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.5.5.5,286,606,
5000000C63,0.0.0.1.0.2.0.0.0.0.0.0.1.0.2.0.0.0.3.3.3.4.4.4.5.5.5,42,86,
4010800C23,0.0.0.1.0.0.0.0.0.0.0.2.1.0.2.0.0.2.3.3.3.0.4.4.5.5.5,288,620,
804000000C63,0.0.0.2.1.1.0.0.0.0.0.0.2.0.0.0.0.0.3.3.3.4.4.4.5.5.5,33,62,
10000080800463,0.1.1.0.0.0.0.0.0.0.2.2.0.0.3.0.0.3.0.4.4.5.5.5.6.6.6,6138,11372,
2100080200461,0.0.1.0.0.1.0.0.1.0.2.2.0.0.0.0.3.3.0.4.4.5.5.5.0.6.6,7512,14444,
580000C1C,0.0.0.0.0.0.0.1.0.2.2.2.0.0.0.0.1.0.3.3.3.4.5.6.4.5.6,7624,14554,
39A00000060,1.2.3.0.0.4.5.0.6.1.2.3.0.0.4.5.0.6.0.0.0.7.7.7.0.0.0,8250,15078,
10041080208401,0.1.1.0.0.3.0.2.2.0.4.4.0.0.3.0.5.5.0.6.6.0.0.3.0.7.7,11592,21199,
20080180C00802,1.1.0.0.0.0.2.2.0.3.3.3.0.0.4.5.5.4.6.6.0.0.0.0.7.7.0,11728,21463,
10000080000C63,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.3.3.3.4.4.4.5.5.5,1048,2144,
10800000000C63,0.1.1.0.2.2.0.0.0.0.0.0.0.0.0.0.0.0.3.3.3.4.4.4.5.5.5,500,1064,
10040080000463,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.0.0.0.4.4.5.5.5.6.6.6,7176,13256,
10040180200C01,0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.0.4.4.5.5.5.0.0.0.0.6.6,8664,16176,
20080100040862,1.1.0.0.0.0.2.2.0.3.3.4.0.0.0.0.0.0.5.5.4.6.6.6.7.7.0,6012,10488,
20080180400806,1.1.0.0.0.0.2.2.0.3.3.3.0.0.0.4.4.0.5.5.0.0.0.6.7.7.6,8192,14544,
40800000C63,0.0.0.0.0.0.2.1.1.0.0.0.0.0.0.2.0.0.3.3.3.4.4.4.5.5.5,66,124,
60000000C63,2.0.0.0.0.0.0.1.1.2.0.0.0.0.0.0.0.0.3.3.3.4.4.4.5.5.5,66,124,
10040000000C63,0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.3.3.3.4.4.4.5.5.5,300,656,
20080380001802,1.1.0.0.0.0.2.2.3.4.4.4.0.0.0.0.0.3.5.5.0.0.0.0.6.6.3,4564,8156,
29A00008401,1.0.2.0.0.3.4.0.5.1.0.2.0.0.3.4.0.5.0.6.6.0.0.3.0.7.7,2660,4256,
800084220C21,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.6.6.6.5.7.7.0.8.8,20856,36400,
10800084220421,0.1.1.0.2.2.0.0.0.0.3.3.6.4.4.0.5.5.0.7.7.6.8.8.0.9.9,62864,114096,
100408C43,0.0.0.0.0.0.0.0.0.1.1.0.0.0.3.2.2.0.4.4.4.5.5.3.6.6.6,2248,4020,
820880304020,2.0.0.0.1.1.3.0.0.2.4.4.0.0.0.3.5.5.2.0.0.0.6.6.3.0.0,592,932,Gravitational Stairs
30800080200023,1.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.0.0.0.5.5.6.6.6,1832,3680,Stalagmites & Stalactites
10002800C1C,0.1.0.0.0.0.0.0.0.0.1.0.2.0.3.2.0.3.4.4.4.5.6.7.5.6.7,50820,88984,
10800080200C21,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.5.5.5.0.6.6.0.7.7,56120,101384,
10041080200421,0.1.1.0.0.3.0.2.2.0.4.4.0.0.3.0.5.5.0.6.6.0.7.7.0.8.8,74044,132758,
10840080200421,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.5.5.0.6.6.0.7.7.0.8.8,84584,153594,Belt Road  / Crown
30000080800423,1.1.1.0.0.0.0.0.0.0.2.2.0.0.3.0.0.3.0.4.4.0.5.5.6.6.6,8082,14388,
10800080000C23,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.0.0.4.4.4.0.5.5.6.6.6,7740,14360,
100C0080800421,0.1.1.0.0.0.2.2.2.0.3.3.0.0.4.0.0.4.0.5.5.0.6.6.0.7.7,55578,95256,
10840080000423,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.0.0.0.5.5.0.6.6.7.7.7,59884,103216,
39A00000420,1.2.3.0.0.4.5.0.6.1.2.3.0.0.4.5.0.6.0.7.7.0.8.8.0.0.0,45708,79632,
39E00000400,1.2.3.0.0.4.5.6.7.1.2.3.0.0.4.5.6.7.0.8.8.0.0.0.0.0.0,52536,91536,
300001000008C3,1.1.1.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3.4.5.5.4.6.6.6,623,1078,
30100000240023,1.1.1.0.0.2.0.0.2.0.0.4.0.0.0.0.3.3.0.0.4.0.5.5.6.6.6,479,770,
30100000300043,1.1.1.0.0.2.0.0.2.4.0.0.0.0.0.0.3.3.4.0.0.5.5.0.6.6.6,967,1544,
30840000200803,1.1.1.0.2.2.0.3.3.0.0.0.0.0.0.0.4.4.5.5.0.0.0.0.6.6.6,1984,3840,
D200000C03,0.0.1.2.0.3.0.0.4.0.0.1.2.0.3.0.0.4.5.5.5.0.0.0.6.6.6,624,1104,
8040080200C03,1.0.0.1.0.0.0.2.2.0.3.3.0.0.0.0.4.4.5.5.5.0.0.0.6.6.6,472,796,
10040080200C03,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.5.5.5.0.0.0.6.6.6,1288,2656,
